Found Pair!! Ace of Hearts, 8 of Diamonds, 9 of Hearts, 3 of Hearts, 9 of Spades
5 of Clubs, 9 of Diamonds, 3 of Spades, 2 of Spades, King of Spades
Jack of Spades, 2 of Spades, 5 of Spades, 4 of Spades, 10 of Clubs
4 of Spades, Jack of Diamonds, 6 of Spades, 7 of Hearts, 2 of Hearts
3 of Clubs, Ace of Spades, 6 of Hearts, 2 of Hearts, 7 of Clubs
Found Pair!! 9 of Spades, 6 of Clubs, 9 of Clubs, 6 of Spades, Queen of Clubs
7 of Hearts, Queen of Clubs, 5 of Clubs, 9 of Hearts, 6 of Hearts
10 of Diamonds, Ace of Spades, Queen of Spades, 4 of Hearts, 9 of Diamonds
Found Pair!! 6 of Spades, 3 of Clubs, 2 of Clubs, 9 of Hearts, 3 of Spades
Found Pair!! 7 of Spades, Queen of Hearts, 8 of Spades, 3 of Diamonds, 3 of Hearts
